product_name,price,supplier,properties,certifications,lead_days,lead_type,years_in_business,source_url
Potassium Iodide,0.58,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/potassium-iodide
L-Histidine HCl,0.26,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/l-histidine-hcl
Calcium D-Glucarate,0.42,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/calcium-d-glucarate
Potassium Bicarbonate (USA) Bulk 50lb,499.95,PureBulk,NONE,"[""NO-FILLERS"", ""PURE""]",NONE,NONE,NONE,https://purebulk.com/products/potassium-bicarbonate-bulk
Niacin (Vitamin B3) Immediate Release Bulk,0.0253,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/niacin-vitamin-b3-immediate-release-bulk
Cyanocobalamin 1% (Mannitol 99%) (Vitamin B12),0.25,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/cyanocobalamin-1-mannitol-99-vitamin-b12
Thiamine HCl (Vitamin B1),0.21,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/thiamine-hcl-vitamin-b1
Zinc Gluconate Bulk 25kg,0.028,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/zinc-gluconate-bulk
Riboflavin 5 Phosphate (Vitamin B2),0.595,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/riboflavin-5-phosphate-vitamin-b2
Magnesium Malate,0.0495,PureBulk,NONE,"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",NONE,NONE,NONE,https://purebulk.com/products/magnesium-malate
