role,id,name,properties_json,certifications_json,price_value,price_unit,price_tiers_json,lead_days,lead_reliability,lead_type,supplier_rating_value,supplier_rating_reviews,defect_rate_value,defect_rate_sample,on_time_delivery_value,on_time_delivery_sample,years_in_business,audit_score_value,audit_age_months,audit_passed,moq,country_of_origin,incoterm,source_url
CANDIDATE,thiamine-mononitrate-vitamin-b1,Thiamine Mononitrate (Vitamin B1),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.1395,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/thiamine-mononitrate-vitamin-b1
CANDIDATE,potassium-bicarbonate,Potassium Bicarbonate (USA),{},"[""NO-FILLERS"", ""PURE""]",0.035,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/potassium-bicarbonate
CANDIDATE,nicotinamide-ribose-chloride,Nicotinamide Riboside Chloride (NRC),{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",1.45,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/nicotinamide-ribose-chloride
CANDIDATE,hydrolyzed-collagen-chicken,Hydrolyzed Collagen Peptides (Chicken) (Type II) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",0.0895,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/hydrolyzed-collagen-chicken
CANDIDATE,acid-succinate-vitamin-e,Acid Succinate (Vitamin E) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.398,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/acid-succinate-vitamin-e
CANDIDATE,zinc-oxide,Zinc Oxide,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",0.05,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-oxide
CANDIDATE,zinc-gluconate,Zinc Gluconate,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.066,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-gluconate
CANDIDATE,d-aspartic-acid-daa,D-Aspartic Acid (DAA) Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.0975,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/d-aspartic-acid-daa
CANDIDATE,zinc-sulfate-monohydrate,Zinc Sulfate Monohydrate,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN"", ""WHEAT-FREE""]",0.085,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/zinc-sulfate-monohydrate
CANDIDATE,calcium-hmb,Calcium HMB Powder,{},"[""BSE-TSE-FREE"", ""NO-FILLERS"", ""PURE"", ""VEGAN"", ""VEGETARIAN""]",0.1195,EUR/unit,,30,0.5,unknown,,,,,,,,,,,1,US,EXW,https://purebulk.com/products/calcium-hmb
